Threat,Category,Mean_Prob,Fin_ALE_Mean,Fin_ALE_VaR95,Human_ALE_Mean,Human_ALE_VaR95,Ratio_HumanToFin,Description,Dim_Psych,Dim_Privacy,Dim_Safety,Dim_Trust,Dim_Autonomy
Prompt Injection,Integrity,0.6669358148118452,5008793.362795276,9108546.537707629,116822740.8949184,191453156.0930646,23.32352972727202,User bypasses safeguards.,4,3,5,6,7
Data Poisoning,Integrity,0.3841493646772418,4800268.015366841,11560733.315257968,16634060.021848472,37860794.99387392,3.4652356844656893,Corrupted data.,5,5,8,9,7
Improper Output Handling,Integrity,0.45553058522676226,3644437.1990151037,7279871.540152853,32801018.79614297,58919335.48148992,9.000297440989607,Unvalidated output.,3,4,7,5,3
Misinformation,Reliability,0.7684077406855281,1999122.7747390324,3887230.1733314674,1305783973.3568835,2102624059.855185,653.1784790092954,False info.,6,2,7,9,5
Sensitive Info Disclosure,Confidentiality,0.36372842262009486,1814616.2678547243,4175218.0364559535,10291740.219980799,22328556.413194347,5.671579386945483,PII exposed.,6,9,6,7,4
System Prompt Leak,Confidentiality,0.5443001169462051,135977.8529210699,264101.2693048212,3174808.0508242077,5609846.511518294,23.347978973216073,LLM reveals instructions.,2,4,2,7,3
